klub_id,ime_kluba,grad,osnovan,stadion,kapacitet_stadiona,liga,drzava,broj_osvojenih_titula,trener
2,NK Opatija,Opatija,1908,Stadion Kantrida,10600,Supersport Prva NL,Hrvatska,0,Zoran Bogolin
3,NK Dubrava Tim Kabel,Zagreb,1948,Stadion ŠRC Grana-Klaka,2000,Supersport Prva NL,Hrvatska,0,Davor Mladina
4,NK Croatia Zmijavci,Zmijavci,1974,Stadion ŠRC Marijan šuto Mrma,1500,Supersport Prva NL,Hrvatska,0,Marko Kartelo
7,NK Jarun,Zagreb,1921,Stadion NK Jarun,1500,Supersport Prva NL,Hrvatska,0,Jerko Leko
8,HNK Orijent,Rijeka,1919,Stadion Krimeja,3000,Supersport Prva NL,Hrvatska,0,Alen Šušnić
11,NK BSK Bijelo Brdo,Bijelo Brdo,1935,Stadion BSK,1500,Supersport Prva NL,Hrvatska,0,Igor Budiša
12,NK Zrinski Osječko 1664,Osijek,1664,Stadion Gradski vrt,18000,Supersport Prva NL,Hrvatska,0,Dražen Dikonić
1,HNK Vukovar 1991,Vukovar,1991,Stadion Borovo,6000,Supersport Prva NL,Hrvatska,0,Branko Karačić
5,NK Sesvete,Sesvete,1945,Stadion Sv. Josip Radnik,3000,Supersport Prva NL,Hrvatska,1,Mario Rac
6,NK Rudeš,Zagreb,1957,Stadion Rudeš,2500,Supersport Prva NL,Hrvatska,2,Samir Toplak
9,HNK Cibalia,Vinkovci,1919,Stadion HNK Cibalia,10500,Supersport Prva NL,Hrvatska,1,Ivvan Karaula
10,NK Dugopolje,Dugopolje,1952,Stadion Hrvatski vitezovi,5000,Supersport Prva NL,Hrvatska,1,Mirko Labrović
